Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,SHOPEE,12,DUQUE DE CAXIAS / RJ (DQX),RJ,FIBRA,300
F. H. MATSUDA MONITORAMENTO E INTERNET LTDA,N/A,300.00,L2L LAST MILE,Amigão Supermercados Companhia Sulamericana de Distribuicao,12,Cruzeiro do Oeste,PR,FIBRA,100
AGE TELECOMUNICACOES LTDA,n/a,100.29,IP BANDA LARGA,DIRECIONAL,12,Brasília,DF,FIBRA,600
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,30,400.00,IP DEDICADO,DIAGNOSTICOS DA AMERICA S.A,24,São Paulo,SP,FIBRA,55
UPLINK SOLUCOES EM INTERNET LTDA,0,120.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,INHAPIM / MG (INP),MG,FIBRA,100
CONNECTION TELECOM LTDA,0,470.00,IP DEDICADO,VOGEL SOLUÇÕES-SICREDI,0,SAO JOAO NEPOMUCENO / MG (SJN),MG,FIBRA,110
FLAT TELECOMUNICACOES LTDA,0,200.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ITUIUTABA / MG (IUA),MG,FIBRA,10
FLAT TELECOMUNICACOES LTDA,0,200.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SANTA VITORIA / MG (STV),MG,FIBRA,10
FLAT TELECOMUNICACOES LTDA,0,250.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ITUIUTABA / MG (IUA),MG,FIBRA,15
HG GAS & TELECOM LTDA,32,140.00,IP BANDA LARGA,UNISTALDA,12,UNISTALDA,RS,FIBRA,100
HG GAS & TELECOM LTDA,32,140.00,IP BANDA LARGA,UNISTALDA,12,UNISTALDA,RS,FIBRA,100
HG GAS & TELECOM LTDA,32,140.00,IP BANDA LARGA,UNISTALDA,12,UNISTALDA,RS,FIBRA,100
HG GAS & TELECOM LTDA,32,140.00,IP BANDA LARGA,UNISTALDA,12,UNISTALDA,RS,FIBRA,100
COMPANHIA ITABIRANA DE TELECOMUNICACOES LTDA,30,590.00,IP DEDICADO,SICREDI,36,Contagem,MG,FIBRA,50
IP CONSULTORIA LTDA,30,940.00,IP DEDICADO,EBAZAR,36,São Luís,MA,FIBRA,100
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,JSL S.A,36,,,FIBRA,50
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,29,1.400.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,São Paulo,SP,FIBRA,100
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,29,1.400.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,São Paulo,SP,FIBRA,100
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,29,1.400.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Guarulhos,SP,FIBRA,100
FIBRA PLUS PROVEDOR DE INTERNET LTDA,N/A,700.00,L2L LAST MILE,JSL  S.A,36,RIBAS DO RIO PARDO,MS,FIBRA,50
PONTO A PONTO TELECOMUNICAÇÃO DO BRASIL EIRELI ME,0,900.00,IP DEDICADO,G&B Auto Pecas Alternativas Ltda - Bonsucesso,12,RIO DE JANEIRO / RJ (RJO),RJ,RÁDIO,100
E TELECOM COMUNICACOES LTDA,0,290.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,LIMA DUARTE / MG (LAD),MG,FIBRA,10
CAIXA ECONOMICA FEDERAL DE IJUI/98700-000 Ijuí,30,184.90,IP BANDA LARGA,,,,,,
CAIXA ECONOMICA FEDERAL DE IJUI/98700-000 Ijuí,30,184.90,IP BANDA LARGA,,,,,,
CAIXA ECONOMICA FEDERAL DE IJUI/98700-000 Ijuí,30,184.90,IP BANDA LARGA,,,,,,
CAIXA ECONOMICA FEDERAL DE IJUI/98700-000 Ijuí,30,184.90,IP BANDA LARGA,,,,,,
GATEWAY TELECOM LTDA,0,299.90,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,GUANHAES / MG (GHE),MG,FIBRA,10
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L  LAST MILE,UNICRED,36,Xanxerê,SC,FIBRA,50
ELO SOLUCOES EMPRESARIAIS LTDA,30,1.000.00,IP DEDICADO,MERCADO LIVRE,36,Petrópolis,RJ,RÁDIO,102
BORALLI & BIELLA COMUNICACOES LTDA,0,280.00,IP DEDICADO,VIACAO PIRACICABANA,0,ITAPOLIS / SP (IAL),SP,FIBRA,30
SOTHIS TECNOLOGIA E SERVICOS DE TELECOMUNICACOES LTDA,30,1.100.00,IP DEDICADO,SENCINET,12,São Paulo,SP,FIBRA,300
NDX NET SERVICOS DE INFORMATICA LTDA,32,600.00,IP DEDICADO,DIRECIONAL ENGENHARIA,12,Rio de Janeiro,RJ,FIBRA,20
LOCALNET TELECOM LTDA,30,899.99,IP DEDICADO,EBAZAR,36,Guaíba,RS,FIBRA,100
JS TELECOM LTDA,30,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,REDENCAO / PA (RDO),PA,FIBRA,30
UAI FIBRA TELECOMUNICACOES LTDA,30,180.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PIUMHI / MG (PIU),MG,FIBRA,12
TOP INTERNET_Veloo,na,475.00,IP DEDICADO,SHOPEE,0,MACEIO / AL (MCO),AL,FIBRA,50
INTERCORP PROVEDOR DE INTERNET LTDA,0,200.00,IP DEDICADO,DIMED/PANVEL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,12
INTERCORP PROVEDOR DE INTERNET LTDA,0,200.00,IP DEDICADO,DIMED/PANVEL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,12
ACESSOLINE TELECOMUNICACOES LTDA,,0.01,L2L LAST MILE,FASHION BUSINESS COMERCIO DE ROUPAS LTDA,12,Tijucas,SC,FIBRA,30
PONTO COM COMERCIO E SERVICOS DE INFORMATICA LTDA,n/a,100.00,IP BANDA LARGA,BANCO DO BRASIL,60,SÃO CRISTOVAO,SE,FIBRA,50
ALGAR SOLUCOES EM TIC S/A,0,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,SAO PAULO / SP (SPO),SP,FIBRA,100
ALGAR SOLUCOES EM TIC S/A,0,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,BELO HORIZONTE / MG (BHE),MG,FIBRA,100
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,97.27,IP BANDA LARGA,BANCO DO BRASIL,60,MATA DE SAO JOAO,BA,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,n/a,240.55,IP DEDICADO,BANCO DO BRASIL,60,RIO DE JANEIRO,RJ,FIBRA,10
SITECNET INFORMATICA LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,JOÃO PESSOA,PB,FIBRA,50
SITECNET INFORMATICA LTDA,n/a,250.00,IP BANDA LARGA,BANCO DO BRASIL,60,JOÃO PESSOA,PB,FIBRA,50
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,JOAO PESSOA / PB (JPA),PB,FIBRA,10
SUNO TELECOM LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,JOAO PESSOA,PB,FIBRA,50
ALGAR SOLUCOES EM TIC S/A,0,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,JOAO PESSOA / PB (JPA),PB,FIBRA,100
FLY LINK LTDA,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UBERLANDIA / MG (ULA),MG,FIBRA,15
FLY LINK LTDA,0,280.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UBERABA / MG (URA),MG,FIBRA,10
FLY LINK LTDA,0,280.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UBERLANDIA / MG (ULA),MG,FIBRA,10
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São José dos Campos,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,Ferraz de Vasconcelos,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,Franco da Rocha,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
THERA TELECOM LIMITADA,n/a,290.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
FLY LINK LTDA,0,700.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PIRAJUBA / MG (PRJ),MG,FIBRA,10
K & V SERVICOS DE TELECOMUNICACOES LTDA.,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,200
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,SAO PAULO,SP,FIBRA,50
ACESSOLINE TELECOMUNICAÇÕES LTDA,na,0.01,L2L  LAST MILE,Amigão Supermercados Companhia Sulamericana de Distribuicao,12,Cruzeiro do Oeste,PR,FIBRA,100
CORPORATIVA FIBER LTDA.,30,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SETE LAGOAS / MG (SLA),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,30,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SETE LAGOAS / MG (SLA),MG,FIBRA,12
IN9NET SERVICOS DE TECNOLOGIA LTDA,0,600.00,IP DEDICADO,INTERCEMENT BRASIL SA,0,JOAO PESSOA / PB (JPA),PB,FIBRA,32
BRASIL DIGITAL TELECOMUNICACOES LTDA,,635.00,L2L LAST MILE,DIAGNOSTICOS DA AMERICA S.A,24,,,,
FLY LINK LTDA,0,280.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UBERLANDIA / MG (ULA),MG,FIBRA,10
FLY LINK LTDA,0,280.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UBERLANDIA / MG (ULA),MG,FIBRA,10
FLY LINK LTDA,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UBERABA / MG (URA),MG,FIBRA,15
COPREL TELECOM LTDA.,n/a,500.00,L2L  LAST MILE,AGROFEL,24,,,,
REDE TOCANTINS DE TELECOMUNICACAO LTDA,0,109.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ARAGUATINS / TO (AGN),TO,FIBRA,450
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,CAMPO GRANDE,MS,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L  LAST MILE,SHOPEE,12,,,FIBRA,52
ELO MULTIMIDIA LTDA.,30,500.00,IP DEDICADO,EBAZAR,12,São Luís,MA,FIBRA,50
HEBERTON LUIZ POLISTCHUK,30,1.782.50,IP DEDICADO,COOPERATIVA CENTRAL AURORA ALIMENTOS,0,CASTRO / PR (CAT),PR,FIBRA,155
OUTCENTER,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CALDAS / MG (CAD),MG,FIBRA,10
DAVID MARTINS FERREIRA TELECOMUNICACAO LTDA,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,VAZANTE / MG (VZE),MG,FIBRA,10
SOFT HOUSE SOLUCOES EM INFORMATICA LTDA,0,119.80,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ARAGUARI / MG (ARI),MG,FIBRA,100
VERO S.A.,30,550.00,IP DEDICADO,SICREDI,36,CAETE,MG,FIBRA,50
WIKINET TELECOMUNICACOES LTDA,29,1.000.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Brasília,DF,FIBRA,100
SI TELECOMUNICACOES SERVICOS DE TELEFONIA LTDA,30,400.00,IP DEDICADO,JSL  S.A,24,Itupeva,SP,FIBRA,50
INDNET TELECOMUNICAÇÕES LTDA ME,0,1.500.00,IP DEDICADO,Expereo do Brasil Servicos de Telecomunicacoes Ltda Indianopolis,0,INDIANOPOLIS / MG (IDO),MG,RÁDIO,50
W EMPRESAS TELECOM LTDA,30,650.00,IP DEDICADO,SHOPEE,12,Rio de Janeiro,RJ,FIBRA,52
NETWAY TELECOM LTDA,30,650.00,IP DEDICADO,SHOPEE,12,RIO DE JANEIRO,RJ,FIBRA,70
N.S. INTERNET LTDA,0,124.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,SAO SEBASTIAO DO PARAISO / MG (SSP),MG,FIBRA,100
I3 TELECOMUNICACOES LTDA,30,209.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,RIO CASCA / MG (RCA),MG,FIBRA,100
ITACOLOMI COMUNICACAO LTDA.,29,840.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Montes Claros,MG,FIBRA,100
Ufinet Brasil S/ A,29,2.100.00,IP DEDICADO,DIAGNOSTICOS DA AMERICA S.A,36,São Paulo,SP,FIBRA,2
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,Salvador,BA,FIBRA,50
G3 SERVICOS LTDA,n/a,190.00,IP DEDICADO,BANCO DO BRASIL,60,LAURO DE FREITAS,BA,FIBRA,50
SUPRANET TELECOM E INFORMATICA LTDA,30,139.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,TIMOTEO / MG (TTO),MG,FIBRA,100
SAROM ALVES GAMA,29,700.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,CAMPINA GRANDE,PB,FIBRA,52
GUARDIOM SEGURANCA ELETRONICA E INSTALACAO DE EQUIPAMENTOS ELETRICOS LTDA,30,1.490.00,IP DEDICADO,WHITE MARTINS,36,TRIUNFO,RS,FIBRA,100
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
ATIVE TELECOM INTERNET E SERVICOS LTDA,n/a,210.00,IP BANDA LARGA,BANCO DO BRASIL,60,Paulista,PE,FIBRA,50
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,RECIFE / PE (RCE),PE,FIBRA,10
V.tal - Rede Neutra de Telecomunicacoes S.a,0,100.96,IP BANDA LARGA,BANCO DO BRASIL,0,RECIFE / PE (RCE),PE,FIBRA,10
SUNO TELECOM LTDA,n/a,147.00,IP BANDA LARGA,BANCO DO BRASIL,60,RECIFE,PE,FIBRA,50
SUNO TELECOM LTDA,n/a,220.00,IP BANDA LARGA,BANCO DO BRASIL,60,Recife,PE,FIBRA,50
SUNO TELECOM LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,PAULISTA,PE,FIBRA,50
SUNO TELECOM LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,RECIFE,PE,FIBRA,50
SUNO TELECOM LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,RECIFE,PE,FIBRA,50
SUNO TELECOM LTDA,n/a,200.00,IP BANDA LARGA,BANCO DO BRASIL,60,RECIFE,PE,FIBRA,50
FIBRAXNET TELECON LTDA,29,6.800.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Rio Largo,AL,FIBRA,100
H-NET TELECOM LTDA,0,180.00,IP DEDICADO,SANTANDER,0,PIRASSUNUNGA / SP (PAG),SP,FIBRA,12
BRASIL DIGITAL TELECOMUNICACOES LTDA,N/A,800.00,L2L LAST MILE,BACIO DI LATTE,12,Brasília,DF,FIBRA,102
WNET TELECOM E INFORMATICA LTDA,30,190.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,FRONTEIRA / MG (FEA),MG,FIBRA,10
UNONET TELECOMUNICACOES LTDA,29,2.000.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,CRUZEIRO DO SUL,AC,FIBRA,110
BTT TELECOMUNICACOES S.A.,N/A,366.60,L2L LAST MILE | L2L  LAST MILE | IP DEDICADO,SICREDI,36,BELO HORIZONTE,MG,FIBRA,52
BTT TELECOMUNICACOES S.A.,n/a,366.60,L2L LAST MILE | L2L  LAST MILE | IP DEDICADO,SICREDI,36,BELO HORIZONTE,MG,FIBRA,52
BTT TELECOMUNICACOES S.A.,N/A,366.60,L2L LAST MILE | L2L  LAST MILE | IP DEDICADO,SICREDI,36,BELO HORIZONTE/,MG,FIBRA,52
BTT TELECOMUNICACOES S.A.,n/a,366.60,L2L  LAST MILE | IP DEDICADO,SICREDI,36,BELO HORIZONTE,MG,FIBRA,52
TI EVOLUTT CONNECT LTDA,0,200.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CAARAPO / MS (CRP),MS,FIBRA,10
TI EVOLUTT CONNECT LTDA,0,200.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,AMAMBAI / MS (AMB),MS,FIBRA,10
J. COUTINHO DA SILVA FILHO,29,500.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,JUAZEIRO DO NORTE,CE,FIBRA,52
BTT TELECOMUNICACOES S.A.,n/a,366.60,L2L LAST MILE,SICREDI,36,BELO HORIZONTE/,MG,FIBRA,52
VASTELECOM E INFORMATICA LTDA,0,720.00,IP DEDICADO,Expereo do Brasil Servicos de Telecomunicacoes Ltda Mogi Guacu,0,MOGI GUACU / SP (MGU),SP,FIBRA,100
OUTCENTER,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ELOI MENDES / MG (ELM),MG,FIBRA,10
CONECTA MINAS GERAIS LTDA,0,1.160.00,IP DEDICADO,Expereo do Brasil Servicos de Telecomunicacoes Ltda Santos Dumont II - MG,0,SANTOS DUMONT / MG (SND),MG,FIBRA,100
SITECNET INFORMATICA LTDA,29,2.094.72,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,BAYEUX,PB,FIBRA,100
CONNECTION TELECOM LTDA,/32,650.00,IP DEDICADO,SHOPEE,12,Contagem,MG,FIBRA,52
IRED INTERNET LTDA,32,435.71,IP DEDICADO,SHOPEE,12,LONDRINA,PR,FIBRA,50
SIM INTERNET PROVEDORES DE INTERNET LTDA,32,500.00,IP DEDICADO,SHOPEE,12,ITAJAÍ,SC,FIBRA,50
ANDERSON PAIVA ALVES,32,500.00,IP DEDICADO,SHOPEE,12,JOAO PESSOA,PB,FIBRA,50
DEFLEX TELECOM LTDA,n/a,149.90,L2L  LAST MILE,SHOPEE,12,IJUI,RS,FIBRA,50
CONNECT FIBRA SERVICOS DE TELECOMUNICACAO LTDA,/29,900.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,RECIFE,PE,FIBRA,210
CONNECT FIBRA SERVICOS DE TELECOMUNICACAO LTDA,29,800.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,RECIFE,PE,FIBRA,110
RZ NET,0,89.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,CURVELO / MG (CUV),MG,FIBRA,200
CABO SERVICOS DE TELECOMUNICACOES S.A.,n/a,99.99,IP BANDA LARGA,BANCO DO BRASIL,60,NATAL,RN,FIBRA,630
TECSYSTEM,30,243.00,L2L LAST MILE,BANCO SANTANDER,0,NOVO HAMBURGO / RS (NHO),RS,FIBRA,200
F J FERREIRA,30,450.00,IP DEDICADO,SICREDI,36,Mantenópolis,ES,FIBRA,100
ALLREDE PARTICIPACOES LTDA,/32,119.90,IP BANDA LARGA,CLARO S.A,36,CAMPO NOVO DO PARECIS,MT,FIBRA,200
ALLREDE PARTICIPACOES LTDA,32,119.90,IP BANDA LARGA,CLARO S.A,36,SÃO JOSE DO RIO CLARO,MT,FIBRA,200
UNICON TELECOM LTDA,/29,900.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,RECIFE,PE,FIBRA,100
UNICON TELECOM LTDA,/29,900.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,RECIFE,PE,FIBRA,100
ARANET COMUNICACAO LTDA,0,180.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ARAGUAINA / TO (ARN),TO,FIBRA,400
ARANET COMUNICACAO LTDA,0,180.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ARAGUAINA / TO (ARN),TO,FIBRA,400
ELO SOLUCOES EMPRESARIAIS LTDA,0,300.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,CONSELHEIRO PENA / MG (CSN),MG,FIBRA,100
UNICON TELECOM LTDA,/29,900.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,RECIFE,PE,FIBRA,100
UNICON TELECOM LTDA,/29,900.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,RECIFE,PE,FIBRA,100
ADRIANA KESSIA MEDEIROS DE SOUZA LTDA,/29,800.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,PETROLINA,PE,FIBRA,110
CLARICE LOQUETI MAIA & CIA LTDA,30,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,DIAMANTINO / MT (DIO),MT,FIBRA,10
NOROESTECOM TELECOMUNICACOES S.A.,0,2.900.00,IP DEDICADO,Expereo do Brasil Servicos de Telecomunicacoes Ltda Bauru,0,BAURU / SP (BRU),SP,FIBRA,500
USE COMUNICACOES E TELECOMUNICACOES LTDA,n/a,299.00,IP DEDICADO,BANCO DO BRASIL,60,SALVADOR,BA,FIBRA,10
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Paulo,SP,FIBRA,50
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,SAO PAULO,SP,FIBRA,50
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,SAO PAULO,SP,FIBRA,50
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,GALIA,SP,FIBRA,50
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,CONCHAL,SP,FIBRA,50
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,SAO PAULO,SP,FIBRA,50
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,SAO PAULO,SP,FIBRA,50
WFA DUARTE LTDA,n/a,125.00,IP BANDA LARGA,BANCO DO BRASIL,60,SAO PAULO,SP,FIBRA,50
CHECK-UP NET TELECOM LTDA,0,99.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,CARANGOLA / MG (CRL),MG,FIBRA,100
PBR SERVICOS DE TELECOMUNICACOES LTDA,na,109.90,IP BANDA LARGA,DIRECIONAL ENGENHARIA S.A.,12,Maracanau,CE,FIBRA,100
PBR SERVICOS DE TELECOMUNICACOES LTDA,30,629.90,IP DEDICADO,DIRECIONAL ENGENHARIA S.A.,12,Maracanau,CE,FIBRA,20
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,30,550.00,IP DEDICADO,DIRECIONAL ENGENHARIA S.A.,12,Osasco,SP,FIBRA,25
